"ID","KODE_SATUAN","URAIAN_SATUAN"
"6607","K76","POUND (AVOIRDUPOIS) PER CUBIC INCH PSI"
"6606","K75","POUND/AVOIRDUPOIS PER CUBIC INCH DEGREE FAHRENHEIT"
"6605","K74","POUND (AVOIRDUPOIS) PER HOUR PSI"
"6604","K73","POUND (AVOIRDUPOIS) PER HOUR DEGREE FAHRENHEIT"
"6603","K71","POUND (AVOIRDUPOIS) PER GALLON (UK)"
"6602","K70","POUND (AVOIRDUPOIS) PER CUBIC FOOT PSI"
"6601","K69","POUND/AVOIRDUPOIS PER CUBIC FOOT DEGREE FAHRENHEIT"
"6600","K68","POUND PER FOOT SECOND"
"6599","K67","POUND PER FOOT HOUR"
"6598","K66","POUND (AVOIRDUPOIS) PER DAY"
"6597","K65","POUND (AVOIRDUPOIS) SQUARE FOOT"
"6596","K64","POUND (AVOIRDUPOIS) PER DEGREE FAHRENHEIT"
"6595","K63","RECIPROCAL LITRE"
"6594","K62","LITRE PER LITRE"
"6593","K61","KILOMOLE PER MINUTE"
"6592","K60","KILOMOLE PER CUBIC METRE BAR"
"6591","K6","KILOLITRE"
"6590","K59","KILOMOLE PER CUBIC METRE KELVIN"
"6589","K58","KILOMOLE PER HOUR"
"6588","K55","KILOCALORIE (THERMOCHEMICAL) PER SECOND"
"6587","K54","KILOCALORIE (THERMOCHEMICAL) PER MINUTE"
"6586","K53","KILOCALORIE (THERMOCHEMICAL)"
"6585","K52","KILOCALORIE (IT) PER HOUR METRE DEGREE CELSIUS"
"6584","K51","KILOCALORIE (MEAN)"
"6583","K50","KILOBAUD"
"6582","K5","KILOVOLT AMPERE (REACTIVE)"
"6581","K49","RECIPROCAL CUBIC INCH"
"6580","K48","INCH PER SECOND PSI"
"6579","K47","INCH PER SECOND DEGREE FAHRENHEIT"
"6578","K46","INCH PER PSI"
"6577","K45","INCH PER DEGREE FAHRENHEIT"
"6576","K43","HORSEPOWER (ELECTRIC)"
"6575","K42","HORSEPOWER (BOILER)"
"6574","K41","GRAIN PER GALLON (US)"
"6573","K40","STANDARD ACCELERATION OF FREE FALL"
